Concept,Concept.name,Original code,Code_new,system
C0000786,Spontaneous abortion,"156071003,156074006,198631006,198643007",156071003,SNOMEDCT_US_c
C0000786,Spontaneous abortion,"156071003,156074006,198631006,198643007",156074006,SNOMEDCT_US_c
C0000786,Spontaneous abortion,"156071003,156074006,198631006,198643007",198631006,SNOMEDCT_US_c
C0000786,Spontaneous abortion,"156071003,156074006,198631006,198643007",198643007,SNOMEDCT_US_c
C0000804,"Abortion, Criminal","156077004,198730003,198731004,198742008,198767006,49632008",156077004,SNOMEDCT_US_c
C0000804,"Abortion, Criminal","156077004,198730003,198731004,198742008,198767006,49632008",198730003,SNOMEDCT_US_c
C0000804,"Abortion, Criminal","156077004,198730003,198731004,198742008,198767006,49632008",198731004,SNOMEDCT_US_c
C0000804,"Abortion, Criminal","156077004,198730003,198731004,198742008,198767006,49632008",198742008,SNOMEDCT_US_c
C0000804,"Abortion, Criminal","156077004,198730003,198731004,198742008,198767006,49632008",198767006,SNOMEDCT_US_c
C0000804,"Abortion, Criminal","156077004,198730003,198731004,198742008,198767006,49632008",49632008,SNOMEDCT_US_c
C0000814,Missed abortion,"156087000,16607004,",156087000,SNOMEDCT_US_c
C0000814,Missed abortion,"156087000,16607004,",16607004,SNOMEDCT_US_c
C0000821,Threatened abortion,"156098004,198882006,198885008,22689002,",156098004,SNOMEDCT_US_c
C0000821,Threatened abortion,"156098004,198882006,198885008,22689002,",198882006,SNOMEDCT_US_c
C0000821,Threatened abortion,"156098004,198882006,198885008,22689002,",198885008,SNOMEDCT_US_c
C0000821,Threatened abortion,"156098004,198882006,198885008,22689002,",22689002,SNOMEDCT_US_c
C0000832,Abruptio Placentae,"156102007,198908009,198909001,198913008,360561001,405736009,",156102007,SNOMEDCT_US_c
C0000832,Abruptio Placentae,"156102007,198908009,198909001,198913008,360561001,405736009,",198908009,SNOMEDCT_US_c
C0000832,Abruptio Placentae,"156102007,198908009,198909001,198913008,360561001,405736009,",198909001,SNOMEDCT_US_c
C0000832,Abruptio Placentae,"156102007,198908009,198909001,198913008,360561001,405736009,",198913008,SNOMEDCT_US_c
C0000832,Abruptio Placentae,"156102007,198908009,198909001,198913008,360561001,405736009,",360561001,SNOMEDCT_US_c
C0000832,Abruptio Placentae,"156102007,198908009,198909001,198913008,360561001,405736009,",405736009,SNOMEDCT_US_c
C0002453,Amenorrhea,"14302001,156037007,",14302001,SNOMEDCT_US_c
C0002453,Amenorrhea,"14302001,156037007,",156037007,SNOMEDCT_US_c
C0002631,Infection of amniotic cavity,"10573002,199675000,199676004,199679006,312194002,",10573002,SNOMEDCT_US_c
C0002631,Infection of amniotic cavity,"10573002,199675000,199676004,199679006,312194002,",199675000,SNOMEDCT_US_c
C0002631,Infection of amniotic cavity,"10573002,199675000,199676004,199679006,312194002,",199676004,SNOMEDCT_US_c
C0002631,Infection of amniotic cavity,"10573002,199675000,199676004,199679006,312194002,",199679006,SNOMEDCT_US_c
C0002631,Infection of amniotic cavity,"10573002,199675000,199676004,199679006,312194002,",312194002,SNOMEDCT_US_c
C0004045,Asphyxia Neonatorum,"157098009,206278008,268831004,28314004,",157098009,SNOMEDCT_US_c
C0004045,Asphyxia Neonatorum,"157098009,206278008,268831004,28314004,",206278008,SNOMEDCT_US_c
C0004045,Asphyxia Neonatorum,"157098009,206278008,268831004,28314004,",268831004,SNOMEDCT_US_c
C0004045,Asphyxia Neonatorum,"157098009,206278008,268831004,28314004,",28314004,SNOMEDCT_US_c
C0005604,Birth Injuries,"157089006,157097004,",157089006,SNOMEDCT_US_c
C0005604,Birth Injuries,"157089006,157097004,",157097004,SNOMEDCT_US_c
C0006158,"Breech presentation, delivery, no version (procedure)","306727001,",306727001,SNOMEDCT_US_c
C0007871,Uterine Cervical Incompetence,"156172008,199481003,199486008,36836005,",156172008,SNOMEDCT_US_c
C0007871,Uterine Cervical Incompetence,"156172008,199481003,199486008,36836005,",199481003,SNOMEDCT_US_c
C0007871,Uterine Cervical Incompetence,"156172008,199481003,199486008,36836005,",199486008,SNOMEDCT_US_c
